"Address","Content Type","Status Code","Status","HTTP Version","Indexability","Indexability Status","Canonical Link Element 1","Meta Robots 1","X-Robots-Tag 1"
"https://vouch-mobile-site-fz5pc.kinsta.page/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/plans/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/plans/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/coverage-map-400w.png","image/png","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/about/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/about/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/js/main.js","application/javascript","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/css/styles.css","text/css","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/logo-150w.png","image/png","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/contact/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/contact/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/faq/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/faq/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/compare/vouch-vs-visible/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/compare/vouch-vs-visible/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/compare/vouch-vs-mint-mobile/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/compare/vouch-vs-mint-mobile/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/compare/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/compare/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/compare/vouch-vs-cricket/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/compare/vouch-vs-cricket/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/back-to-school-phone-plans-2026-student-deals-and-tips/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/back-to-school-phone-plans-2026-student-deals-and-tips/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/phone-plan-trends-2026-whats-changing-in-wireless/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/phone-plan-trends-2026-whats-changing-in-wireless/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/smart-ways-to-use-your-tax-refund-phone-plan-edition/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/smart-ways-to-use-your-tax-refund-phone-plan-edition/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/no-credit-check-phone-plans-your-complete-guide/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/no-credit-check-phone-plans-your-complete-guide/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/parent-phone-plans-300w.png","image/png","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/phone-plans-for-new-americans-no-ssn-or-credit-required/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/phone-plans-for-new-americans-no-ssn-or-credit-required/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/budget-phone-tips-300w.png","image/png","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/phone-plans-seniors-300w.png","image/png","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/gig-worker-phone-plans-300w.png","image/png","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/black-friday-phone-plan-deals-2026-best-carrier-discounts/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/black-friday-phone-plan-deals-2026-best-carrier-discounts/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/what-is-an-mvno-everything-you-need-to-know/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/what-is-an-mvno-everything-you-need-to-know/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/phone-plans-for-bad-credit-no-credit-check-options-2026/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/phone-plans-for-bad-credit-no-credit-check-options-2026/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/how-to-save-money-on-your-phone-bill-15-proven-tips/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/how-to-save-money-on-your-phone-bill-15-proven-tips/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/port-phone-number-300w.png","image/png","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/summer-travel-phone-300w.png","image/png","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/best-phone-plans-for-college-students-2026/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/best-phone-plans-for-college-students-2026/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/best-phone-plans-for-gig-workers-uber-doordash-and-more/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/best-phone-plans-for-gig-workers-uber-doordash-and-more/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/best-phone-plans-for-parents-and-kids-2026/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/best-phone-plans-for-parents-and-kids-2026/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/gift-a-phone-plan-the-perfect-present-for-any-occasion/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/gift-a-phone-plan-the-perfect-present-for-any-occasion/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/prepaid-vs-postpaid-300w.png","image/png","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/how-to-check-if-your-phone-is-unlocked/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/how-to-check-if-your-phone-is-unlocked/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/best-phones-for-prepaid-plans-2026-top-10-unlocked-phones/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/best-phones-for-prepaid-plans-2026-top-10-unlocked-phones/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/25-budget-phone-tips-save-money-without-sacrificing-quality/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/25-budget-phone-tips-save-money-without-sacrificing-quality/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/how-to-unlock-your-phone-carrier-unlock-guide-2026/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/how-to-unlock-your-phone-carrier-unlock-guide-2026/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/black-friday-phone-deals-300w.png","image/png","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/best-phones-prepaid-300w.png","image/png","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/family-phone-plan-alternatives-save-without-the-big-carrier/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/family-phone-plan-alternatives-save-without-the-big-carrier/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/traveler-phone-plans-300w.png","image/png","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/unlock-phone-300w.png","image/png","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/2026-phone-plan-trends-300w.png","image/png","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/switch-carriers-300w.png","image/png","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/new-year-phone-savings-300w.png","image/png","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/how-to-switch-phone-carriers-without-losing-your-number/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/how-to-switch-phone-carriers-without-losing-your-number/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/best-phone-plans-for-travelers-2026/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/best-phone-plans-for-travelers-2026/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/phone-unlocked-new-300w.png","image/png","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/no-credit-check-300w.png","image/png","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/first-phone-plan-guide-what-to-know-before-you-sign-up/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/first-phone-plan-guide-what-to-know-before-you-sign-up/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/family-plan-alternatives-300w.png","image/png","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/phone-plans-bad-credit-300w.png","image/png","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/esim-vs-physical-sim-which-is-right-for-you/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/esim-vs-physical-sim-which-is-right-for-you/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/how-to-port-your-phone-number-complete-guide-2026/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/how-to-port-your-phone-number-complete-guide-2026/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/prepaid-vs-postpaid-plans-which-is-better-in-2026/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/prepaid-vs-postpaid-plans-which-is-better-in-2026/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/gift-phone-plan-300w.png","image/png","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/best-phone-plans-for-small-business-owners-2026/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/best-phone-plans-for-small-business-owners-2026/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/remote-worker-phone-plans-300w.png","image/png","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/phone-plan-data-explained-300w.png","image/png","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/back-to-school-phone-300w.png","image/png","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/tax-refund-phone-300w.png","image/png","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/save-money-phone-bill-300w.png","image/png","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/small-business-phone-plans-300w.png","image/png","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/college-student-phone-plans-300w.png","image/png","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/new-year-phone-plan-resolution-save-600-in-2026/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/new-year-phone-plan-resolution-save-600-in-2026/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/esim-vs-sim-new-300w.png","image/png","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/best-phone-plans-for-seniors-2026-simple-and-affordable-options/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/best-phone-plans-for-seniors-2026-simple-and-affordable-options/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/how-much-data-do-i-need-phone-plan-data-guide/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/how-much-data-do-i-need-phone-plan-data-guide/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/best-phone-plans-for-remote-workers-2026/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/best-phone-plans-for-remote-workers-2026/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/new-americans-phone-plans-300w.png","image/png","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/mvno-300w.png","image/png","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/first-phone-plan-300w.png","image/png","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/icons/facebook.svg","image/svg+xml","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/icons/instagram.svg","image/svg+xml","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/minnesota/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/minnesota/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/delaware/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/delaware/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/kansas/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/kansas/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/ohio/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/ohio/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/summer-travel-phone-tips-stay-connected-on-vacation/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/summer-travel-phone-tips-stay-connected-on-vacation/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/north-carolina/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/north-carolina/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/new-mexico/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/new-mexico/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/wyoming/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/wyoming/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/rhode-island/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/rhode-island/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/nebraska/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/nebraska/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/california/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/california/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/georgia/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/georgia/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/missouri/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/missouri/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/virginia/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/virginia/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/florida-300w.jpeg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/west-virginia/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/west-virginia/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/texas-300w.jpeg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/mississippi/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/mississippi/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/louisiana/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/louisiana/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/vermont/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/vermont/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/nevada/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/nevada/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/michigan/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/michigan/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/coverage-hero-600w.jpeg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/texas/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/texas/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/alabama/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/alabama/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/new-york/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/new-york/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/california-300w.jpeg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/illinois/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/illinois/","",""
